AudioFileName,avgRate,minRadius,maxRadius,expRadius,volume
SDT_FluidFlow_1.wav,0.2,0.1,0.5,0.2,0.696
SDT_FluidFlow_2.wav,0.2,0.1,0.5,0.267,0.619
SDT_FluidFlow_3.wav,0.2,0.1,0.5,0.333,0.727
SDT_FluidFlow_4.wav,0.2,0.1,0.5,0.4,0.57
SDT_FluidFlow_5.wav,0.2,0.1,0.5,0.467,0.655
SDT_FluidFlow_6.wav,0.2,0.1,0.5,0.533,0.727
SDT_FluidFlow_7.wav,0.2,0.1,0.5,0.6,0.703
SDT_FluidFlow_8.wav,0.2,0.1,0.5,0.667,0.578
SDT_FluidFlow_9.wav,0.2,0.1,0.5,0.733,0.725
SDT_FluidFlow_10.wav,0.2,0.1,0.5,0.8,0.618
SDT_FluidFlow_11.wav,0.2,0.1,0.533,0.2,0.609
SDT_FluidFlow_12.wav,0.2,0.1,0.533,0.267,0.728
SDT_FluidFlow_13.wav,0.2,0.1,0.533,0.333,0.619
SDT_FluidFlow_14.wav,0.2,0.1,0.533,0.4,0.565
SDT_FluidFlow_15.wav,0.2,0.1,0.533,0.467,0.637
SDT_FluidFlow_16.wav,0.2,0.1,0.533,0.533,0.68
SDT_FluidFlow_17.wav,0.2,0.1,0.533,0.6,0.706
SDT_FluidFlow_18.wav,0.2,0.1,0.533,0.667,0.5
SDT_FluidFlow_19.wav,0.2,0.1,0.533,0.733,0.717
SDT_FluidFlow_20.wav,0.2,0.1,0.533,0.8,0.581
SDT_FluidFlow_21.wav,0.2,0.1,0.567,0.2,0.548
SDT_FluidFlow_22.wav,0.2,0.1,0.567,0.267,0.56
SDT_FluidFlow_23.wav,0.2,0.1,0.567,0.333,0.701
SDT_FluidFlow_24.wav,0.2,0.1,0.567,0.4,0.52
SDT_FluidFlow_25.wav,0.2,0.1,0.567,0.467,0.627
SDT_FluidFlow_26.wav,0.2,0.1,0.567,0.533,0.527
SDT_FluidFlow_27.wav,0.2,0.1,0.567,0.6,0.677
SDT_FluidFlow_28.wav,0.2,0.1,0.567,0.667,0.704
SDT_FluidFlow_29.wav,0.2,0.1,0.567,0.733,0.741
SDT_FluidFlow_30.wav,0.2,0.1,0.567,0.8,0.647
SDT_FluidFlow_31.wav,0.2,0.1,0.6,0.2,0.649
SDT_FluidFlow_32.wav,0.2,0.1,0.6,0.267,0.644
SDT_FluidFlow_33.wav,0.2,0.1,0.6,0.333,0.547
SDT_FluidFlow_34.wav,0.2,0.1,0.6,0.4,0.653
SDT_FluidFlow_35.wav,0.2,0.1,0.6,0.467,0.619
SDT_FluidFlow_36.wav,0.2,0.1,0.6,0.533,0.689
SDT_FluidFlow_37.wav,0.2,0.1,0.6,0.6,0.731
SDT_FluidFlow_38.wav,0.2,0.1,0.6,0.667,0.725
SDT_FluidFlow_39.wav,0.2,0.1,0.6,0.733,0.635
SDT_FluidFlow_40.wav,0.2,0.1,0.6,0.8,0.676
SDT_FluidFlow_41.wav,0.2,0.1,0.633,0.2,0.703
SDT_FluidFlow_42.wav,0.2,0.1,0.633,0.267,0.724
SDT_FluidFlow_43.wav,0.2,0.1,0.633,0.333,0.737
SDT_FluidFlow_44.wav,0.2,0.1,0.633,0.4,0.613
SDT_FluidFlow_45.wav,0.2,0.1,0.633,0.467,0.749
SDT_FluidFlow_46.wav,0.2,0.1,0.633,0.533,0.698
SDT_FluidFlow_47.wav,0.2,0.1,0.633,0.6,0.653
